,Announced Size
0,1GW
1,2.5MW
2,26MW
3,4GW
4,12.5 million litres of synthetic kerosene per year production
5,25 million litres of synthetic kerosene per year production
6,4.5MW
7,500 MW - 1.3 Mt DRI
8,20 MW
9,2.5 MW
10,10
11,100000 t MeOH/y production
12,1 MW
13,10 MW
14,2 MW
15,2 MW
16,1.3 MW
17,1.125 MW
18,1 MW
19,1.3 MW
20,0.7 MW - 200 Nm3 H2/h
21,0.25 MW - 50 Nm3 H2/h
22,50 kW
23,1 Nm3/h
24,1 Nm3/h
25,1 Nm3/h
26,6 MW
27,4 MW
28,2.5 MW
29,2.5 MW
30,1 MW - 200m3 H2/h - 1t MeOH/d
31,1 MW
32,1 MW - 200m3 H2/h
33,140 Nm3 H2/h
34,0.5 MW
35,0.5 MW
36,0.5 MW - 100m3 H2/h
37,0.75 MW
38,0.35 MW
39,60 Nm3/h
40,60 Nm3/h
41,0.25 MW
42,0.2 MW
43,0.15MW
44,18 Nm3/h
45,
46,0.025MW
47,0.01 MW - 10m3 H2/h
48,0.007 MW
49,0.006MW
50,1 Nm3 H2/h
51,1 MW - 180 Nm3 H2/h
52,1.5 MW
53,50 kW
54,10 Nm³ H₂/h
55,
56,2.4 MW - 450m3 H2/h
57,2 MW
58,1.5MW
59,1.5 MW
60,1MW - 200m3 H2/h
61,1MW - 200m3 H2/h
62,0.8 MW
63,0.7Mw or 150m3 H2/h
64,0.6MW
65,0.7 MW
66,0.225 MW
67,0.2MW
68,37 Nm3 H2/h
69,25 Nm3 H2/h
70,0.05 MW
71,20m3 CH4/h
72,10m3 H2/h
73,0.025MW
74,4m3 H2/h
75,1m3 H2/h
76,1m3 H2/h
77,0.25 Nm3 H2/h
78,
79,1GW H2 - 1.5Mt CO2/y
80,3 TWh H2/y - 0.81Mt CO2/y
81,1 Mt H2/y production
82,0.0625MW
83,9 Nm3/h
84,10 Nm3/h
85,1 Nm3/h
86,1 Nm3/h
87,1 Nm3/h
88,1 Nm3/h
89,50 kW
90,
91,1.25MW
92,120MW
93,0.2MW
94,0.185 MW
95,0.075MW
96,0.05MW
97,2m3 H2/h
98,1m3 H2/h
99,1m3 H2/h
100,1.5 MW
101,1MW - 200m3 H2/h
102,0.5 MW - 100 Nm3H2/h
103,60 Nm3/h
104,0.3 MW - 60 Nm3 H2/h
105,0.7MW - 60m3 H2/h
106,0.15MW
107,28 Nm3/h
108,0.02MW
109,1 Nm3/h
110,
111,
112,1.5MW - 180m3 H2/h
113,0.5 MW - 100 Nm3H2/h
114,30MW
115,4m3 H2/h
116,
117,6.3 MW
118,200 kg H2/d
119,2 MW
120,1 MW - 180 Nm3 H2/h
121,0.6MW - 120 Nm3 H2/h
122,20MW
123,50 Nm3 H2/h
124,0.2MW - 30 Nm3 H2/h
125,0.18 MW
126,0.04MW
127,
128,0.6m3 H2/h
129,10 MW
130,5 MW
131,0.165MW
