Ref,Country,Date online,Status,Technology,Technology_electricity,Technology_electricity_details,Product,Capacity_MWel,Capacity_Nm³ H₂/h,Capacity_kt H2/y,Capacity_t CO₂ captured/y,zero-carbon estimated normalized capacity [Nm³ H₂/hour]
6,NOR,2026,FID/Construction,SOEC,Dedicated renewable,Others/Various,Synfuels,50.26358319,13227,10.3,,13227
7,NOR,2026,Feasibility study,SOEC,Dedicated renewable,Others/Various,Synfuels,50.26358319,13227,10.3,,13227
8,SWE,2021,Operational,ALK,Grid,,H2,4.5,978,0.8,,978
9,SWE,2025,FID/Construction,ALK,Grid,,H2,500,108696,84.7,,108696
10,ESP,2022,Operational,PEM,Dedicated renewable,Solar PV,Ammonia,20,3846,3,,3846
11,ESP,2022,Operational,PEM,Dedicated renewable,Solar PV,H2,2.5,481,0.4,,481
17,CHE,2020,Operational,PEM,Dedicated renewable,Hydropower,H2,2,385,0.3,,385
18,DEU,2021,Operational,ALK,Grid,,H2,2,435,0.3,,435
19,DEU,2020,Operational,PEM,Dedicated renewable,Hydropower,H2,1.3,250,0.2,,250
20,DEU,2020,Operational,PEM,Dedicated renewable,Onshore wind,H2,1.125,216,0.2,,216
22,GBR,2019,Operational,PEM,Dedicated renewable,Onshore wind,H2,1,192,0.1,,192
23,DEU,2020,Operational,ALK,Dedicated renewable,Hydropower,H2,1.3,283,0.2,,283
24,DEU,2020,Operational,SOEC,Grid,,H2,0.7,200,0.2,,200
27,JPN,2020,Operational,PEM,Grid,,H2,0.0052,1,0,,1
28,JPN,2020,Operational,PEM,Grid,,H2,0.0052,1,0,,1
29,JPN,2020,Operational,PEM,Grid,,H2,0.0052,1,0,,1
30,AUT,2019,Operational,PEM,Grid,,H2,6,1154,0.9,,1154
31,CHN,2019,Operational,PEM,Dedicated renewable,Unknown,H2,4,769,0.6,,769
33,CAN,2019,Operational,PEM,Grid,,H2,2.5,481,0.4,,481
36,DEU,2019,Operational,PEM,Grid,,MeOH,1,192,0.1,,192
37,DEU,2020,Operational,PEM,Dedicated renewable,Onshore wind,H2,1,192,0.1,,192
38,EST,2019,Operational,ALK,Other/unknown,,H2,1,217,0.2,,217
40,EST,2019,Operational,PEM,Other/unknown,,H2,0.728,140,0.1,,140
41,FRA,2019,Operational,ALK,Grid,,H2,0.5,109,0.1,,109
42,GBR,2020,Operational,PEM,Grid,,H2,0.5,96,0.1,,96
43,CAN,2019,Operational,ALK,Other/unknown,,H2,0.5,109,0.1,,109
44,FRA,2019,Operational,PEM,Grid,,H2,0.75,144,0.1,,144
46,CHE,2019,Operational,PEM,Grid,,CH4,0.35,67,0.1,,67
49,MYS,2019,Operational,ALK,Other/unknown,,H2,0.276,60,0,,60
50,SWE,2019,Operational,ALK,Dedicated renewable,Solar PV,H2,0.276,60,0,,60
52,DEU,2019,Operational,PEM,Grid,,H2,0.2,38,0,,38
54,AUS,2019,Operational,PEM,Grid,,H2,0.15,29,0,,29
62,SGP,2019,Operational,PEM,Other/unknown,,H2,0.0052,1,0,,1
63,DEU,2018,Operational,PEM,Grid,,CH4,1,192,0.1,,192
64,JPN,2019,Operational,PEM,Other/unknown,,H2,1.5,288,0.2,,288
68,DEU,2019,Operational,PEM,Dedicated renewable,Onshore wind,H2,2.4,450,0.4,,450
69,DEU,2018,Operational,ALK,Grid,,Various,2,435,0.3,,435
70,USA,2018,Operational,PEM,Other/unknown,,H2,1.5,288,0.2,,288
71,DNK,2020,Operational,PEM,Dedicated renewable,Onshore wind,H2,1.5,288,0.2,,288
72,GBR,2018,Operational,ALK,Other/unknown,,H2,1,217,0.2,,217
73,THA,2018,Operational,PEM,Other/unknown,,H2,1,192,0.1,,192
74,DEU,2020,Operational,PEM,Other/unknown,,H2,0.8,154,0.1,,154
75,NOR,2017,Operational,ALK,Dedicated renewable,Solar PV,H2,0.7,152,0.1,,152
76,AUT,2018,Operational,ALK,Dedicated renewable,Solar PV,CH4,0.6,130,0.1,,130
77,GBR,2017,Operational,PEM,Dedicated renewable,Onshore wind,H2,0.7,135,0.1,,135
80,DEU,2018,Operational,PEM,Dedicated renewable,Onshore wind,H2,0.225,43,0,,43
82,ITA,2018,Operational,PEM,Grid,,CH4,0.2,38,0,,38
83,FRA,2018,Operational,PEM,Other/unknown,,H2,0.1924,37,0,,37
87,DEU,2018,Operational,PEM,Other/unknown,,CH4,0.05,10,0,,10
88,ESP,2018,Operational,SOEC,Other/unknown,,CH4,0.03344,9,0,,9
89,ITA,2018,Operational,SOEC,Other/unknown,,H2,0.038,10,0,,10
90,JPN,2018,Operational,PEM,Other/unknown,,H2,0.025,5,0,,5
92,DEU,2018,Operational,ALK,Grid,,CH4,0.0184,4,0,,4
93,JPN,2018,Operational,PEM,Other/unknown,,H2,0.0052,1,0,,1
94,JPN,2018,Operational,PEM,Other/unknown,,H2,0.0052,1,0,,1
96,SWE,2018,Operational,PEM,Other/unknown,,H2,,,,,0
97,GBR,2035,Concept,NG w CCUS,,,H2,,3890730,3033.4,15000000,1880647
111,GBR,2026,Feasibility study,NG w CCUS,,,H2,,115438,90,810000,101555
115,DEU,2017,Operational,ALK,Other/unknown,,H2,0.0625,14,0,,14
119,FRA,2017,Operational,PEM,Other/unknown,,H2,0.0468,9,0,,9
121,JPN,2017,Operational,PEM,Other/unknown,,H2,0.0052,1,0,,1
122,JPN,2017,Operational,PEM,Other/unknown,,H2,0.0052,1,0,,1
123,JPN,2017,Operational,PEM,Other/unknown,,H2,0.0052,1,0,,1
124,CRI,2017,Operational,PEM,Dedicated renewable,Others/Various,H2,0.0052,1,0,,1
127,DEU,2016,Operational,PEM,Grid,,H2,1.25,240,0.2,,240
130,DEU,2024,Feasibility study,PEM,Other/unknown,,H2,120,23077,18,,23077
134,DEU,2016,Operational,PEM,Other/unknown,,H2,0.2,38,0,,38
135,DEU,2016,Operational,PEM,Grid,,H2,0.185,36,0,,36
138,NOR,2016,Operational,PEM,Other/unknown,,H2,0.0104,2,0,,2
139,JPN,2016,Operational,PEM,Grid,,H2,0.0052,1,0,,1
140,JPN,2016,Operational,PEM,Grid,,H2,0.0052,1,0,,1
142,DEU,2015,Operational,PEM,Dedicated renewable,Onshore wind,H2,1.5,288,0.2,,288
143,DEU,2015,Operational,ALK,Dedicated renewable,Onshore wind,H2,1,217,0.2,,217
146,DNK,2015,Operational,ALK,Other/unknown,,CH4,0.5,109,0.1,,109
147,CAN,2015,Operational,ALK,Other/unknown,,H2,0.276,60,0,,60
148,BEL,2015,Operational,ALK,Dedicated renewable,Onshore wind,H2,0.3,65,0.1,,65
151,DEU,2015,Operational,PEM,Grid,,H2,0.15,29,0,,29
163,DEU,2015,Operational,PEM,Grid,,H2,0.02,4,0,,4
169,ITA,2014,Operational,ALK,Other/unknown,,H2,1.5,326,0.3,,326
173,DEU,2014,Operational,ALK,Dedicated renewable,Onshore wind,H2,0.5,109,0.1,,109
178,DEU,2026,Feasibility study,ALK,Dedicated renewable,Others/Various,H2,30,6522,5.1,,6522
198,DEU,2014,Operational,PEM,Other/unknown,,H2,0.0208,4,0,,4
200,DEU,2013,Operational,ALK,Grid,,CH4,6.3,1370,1.1,,1370
201,DNK,2013,Operational,ALK,Grid,,H2,0.43071161,94,0.1,,94
202,DEU,2013,Operational,ALK,Dedicated renewable,Onshore wind,H2,2,435,0.3,,435
203,DEU,2013,Operational,PEM,Other/unknown,,H2,1,192,0.1,,192
204,NOR,2013,Operational,ALK,Other/unknown,,H2,0.6,130,0.1,,130
205,DNK,2023,FID/Construction,ALK,Grid,,H2,20,4348,3.4,,4348
207,DEU,2013,Operational,PEM,Grid,,CH4,0.26,50,0,,50
211,AUS,2013,Operational,ALK,Other/unknown,,H2,0.2,43,0,,43
213,DEU,2013,Operational,PEM,Grid,,CH4,0.18,35,0,,35
221,DEU,2013,Operational,PEM,Dedicated renewable,Solar PV,H2,0.04,8,0,,8
222,IND,2005,Operational,ALK,Other/Unknown,,H2,,,,,0
225,DEU,2021,Operational,PEM,Grid,,H2,10,1923,1.5,,1923
227,DEU,2017,Operational,PEM,Grid,,H2,5,962,0.7,,962
235,DEU,2012,Operational,ALK,Other/unknown,,H2,0.165,36,0,,36
236,DEU,2012,Operational,ALK,Other/unknown,,H2,0.14,30,0,,30
239,DEU,2012,Operational,ALK,Other/unknown,,H2,0.12,26,0,,26
246,GBR,2012,Operational,ALK,Other/unknown,,H2,0.03,7,0,,7
254,DEU,2011,Operational,ALK,Other/unknown,,H2,0.6,120,0.1,,120
258,DEU,2011,Operational,ALK,Other/unknown,,H2,0.5,120,0.1,,120
259,DEU,2011,Operational,ALK,Other/unknown,,H2,0.3,65,0.1,,65
270,CAN,2011,Operational,ALK,Other/unknown,,H2,0.1242,27,0,,27
279,NLD,2011,Operational,PEM,Other/unknown,,H2,0.01,2,0,,2
282,CAN,2010,Operational,ALK,Other/unknown,,H2,0.3,65,0.1,,65
286,DNK,2010,Operational,ALK,Other/unknown,,H2,0.0874,19,0,,19
299,DNK,2010,Operational,ALK,Other/unknown,,H2,,,,,0
302,IND,2012,Operational,PEM,Other/unknown,,H2,0.0104,2,0,,2
303,ARG,2009,Operational,ALK,Dedicated renewable,Onshore wind,H2,0.828,180,0.1,,180
306,TUR,2009,Operational,ALK,Other/unknown,,H2,0.16,30,0,,30
312,DEU,2009,Operational,ALK,Grid,,H2,0.006,1,0,,1
333,GBR,2008,Operational,ALK,Other/unknown,,H2,0.046,10,0,,10
405,IND,2014,Operational,ALK,Other/unknown,,H2,2.0424,444,0.3,,444
427,GBR,2004,Operational,ALK,Other/unknown,,H2,0.034,7,0,,7
437,DEU,2017,Operational,PEM,Dedicated renewable,Onshore wind,H2,6,1154,0.9,,1154
449,ITA,2016,Operational,ALK,Other/unknown,,H2,1.2,261,0.2,,261
472,FRA,2017,Operational,ALK,Other/unknown,,H2,0.138,30,0,,30
477,CHN,2017,Operational,ALK,Other/unknown,,H2,0.092,20,0,,20
491,LBN,2018,Operational,ALK,Other/unknown,,H2,0.114,25,0,,25
492,FRA,2018,Operational,ALK,Other/unknown,,H2,0.0552,12,0,,12
494,NOR,2000,Operational,ALK,Grid,,H2,0.05,11,0,,11
499,GRC,2021,Operational,ALK,Dedicated renewable,Hydropower,H2,0.025,5,0,,5
500,ESP,2023,Operational,ALK,Dedicated renewable,Others/Various,H2,0.08,17,0,,17
502,BEL,2021,Operational,PEM,Other/unknown,,H2,1,192,0.1,,192
505,DNK,2013,Operational,ALK,Grid,,H2,0.43071161,94,0.1,,94
506,DNK,2013,Operational,ALK,Grid,,H2,0.43071161,94,0.1,,94
507,DNK,2013,Operational,ALK,Grid,,H2,1.292134831,281,0.2,,281
517,NLD,2021,Operational,PEM,Dedicated renewable,Solar PV,H2,1,192,0.1,,192
518,NOR,2021,Operational,PEM,Dedicated renewable,Onshore wind,H2,2.5,481,0.4,,481
530,DNK,2022,Operational,ALK,Dedicated renewable,Offshore wind,H2,2,435,0.3,,435
533,DNK,2020,Operational,ALK,Grid,,H2,0.25,54,0,,54
538,NOR,,Feasibility study,ALK,Dedicated renewable,Hydropower,H2,2,435,0.3,,435
539,NOR,2013,Operational,Biomass,,,H2,,10,0,,10
540,NOR,2024,Feasibility study,ALK,Dedicated renewable,Others/Various,H2,45,9783,7.6,,9783
543,GBR,2028,Feasibility study,NG w CCUS,,,H2,,64045,49.9,400000,50151
548,NOR,2023,FID/Construction,PEM,Grid,,Ammonia,24,4615,3.6,,4615
558,GBR,2005,Operational,ALK,Other/unknown,,H2,0.015,3,0,,3
559,GBR,2021,Operational,PEM,Dedicated renewable,Others/Various,H2,3,577,0.4,,577
562,GBR,2028,Feasibility study,NG w CCUS,,,H2,,192135,149.8,1000000,125376
566,GBR,2024,FID/Construction,PEM,Dedicated renewable,Solar PV,H2,20,3846,3,,3846
571,USA,2024,FID/Construction,ALK,Dedicated renewable,Unknown,Ammonia,20,4348,3.4,,4348
572,USA,2024,Feasibility study,PEM,Dedicated renewable,Unknown,H2,5,962,0.7,,962
573,DEU,2028,Feasibility study,ALK,Dedicated renewable,Others/Various,H2,670,145652,113.6,,145652
574,DEU,2023,FID/Construction,ALK,Dedicated renewable,Offshore wind,H2,10,2174,1.7,,2174
575,DEU,,Feasibility study,PEM,Other/unknown,,CH4,50,9615,7.5,,9615
577,SWE,2024,FID/Construction,PEM,Dedicated renewable,Onshore wind,MeOH,70,12270,9.6,,12270
582,ITA,2030,Concept,PEM,Dedicated renewable,Others/Various,H2,,0,0,,0
584,AUS,2028,Feasibility study,PEM,Dedicated renewable,Solar PV,H2,5000,961538,749.7,,961538
585,SAU,2026,FID/Construction,ALK,Dedicated renewable,Others/Various,Ammonia,2000,434783,339,,434783
594,CRI,2025,Feasibility study,PEM,Dedicated renewable,Others/Various,H2,1,192,0.1,,192
603,CHN,2021,Operational,ALK,Dedicated renewable,Solar PV,H2,30,6522,5.1,,6522
609,NLD,2026,Feasibility study,PEM,Dedicated renewable,Onshore wind,H2,50,9615,7.5,,9615
615,FRA,2021,Operational,ALK,Dedicated renewable,Unknown,H2,0.75,163,0.1,,163
618,ESP,2024,Feasibility study,PEM,Dedicated renewable,Offshore wind,H2,20,3846,3,,3846
